,Latin,English,Spanish,Description,"Chachapoyas/Luya, Taylor, not specified","Other Taylor (La Jalca (whrn specified), other Chachapoyas/Luya)",La Jalca,Huancas,Cuemal
FISH,,fish var.,pez var.,tipo trucha por Utcubamba,,,kach-kach,,
,,fish var.,pez var.,,,,,oltillo,
MAMMALS,,cat,gato,,mishu,,,,mishu
,,cat var.,gato var.,gato que come cuy; coloradito con pecho blanco,,,"wiwashillo, waywasho",waywashu,waywashillo
,,cat var.,gato var.,"como gato, come fruta y huevos de gallina, sube al arbol igual que la kasha",,,kanchul,,kanchul
,Puma concolor,,puma,,puma,,puma,puma,
,,cat var.,gato var.,,,,,pumillu,
,,skunk,zorrino,,añash,"añashu, añushu ",,añasho,añash
,,skunk,zorrillo,,,,,,asnaq ushko
,,?,?,como cuy pero grande,,,,ronsoko,
,,dog,perro  ,,,,alko,,
,,dog var.,perro var.,como perrito grande,,,,achoni,
,,dog var.,perro var.,como perrito grande,,,,raposo,
,,,,,"luwichu, luychu, taruka, kuyapisi",,,lluychu,lluychi
,,badger,tejón,,,,,,ushko
,,?,?,"come yuca, camote - escarba",,,,,choska
,,,,,,,,maqas,maqas
,,?,?,,,,,saqinu,
,,"tapir, boar",,,,,,sachawaka,
,,mouse,ratón,,,,ukcha,ukcha,
,,bat,murciélago,,mashu,,,,masho 
BIRDS,,bird,pájaro,,pishku,,,,
,,sparrow,gorrión,,,"chuchira, chumchir, pichuchu",pichuchi,,
,,hawk,gavilán,note: not eagle,anka,anga,,,
,,hawk var.,"gavilán, var",tamaño de la gallina,,,,kurkingo,
,,"owl, var.",lechuza,"generally, barn owl, screech owl",chusik,chusiq,,,
,,"owl, var","buhos, var.",,,,,,taulaka
,,hummingbird,colibrí,,,,kinti,kinti,kinti
,,thrush,zorzal,,,,chukiay,,chukako
,,partridge,perdíz,,,,,,yutu
,,"pigeon, dove",torcaza,,,ayurpene,,,
,,crow,cuervo,ave negra que come desperdices = cuervo,,,shuka,shuka,shuka
,,bird var.,ave var.,"color censizo con pecho amarillo, come maiz",,,piuro,piuro,
,,bird var.,ave var.,?= karakaq (Cuemal),,,karara,,
,,bird var.,ave var.,"?=karara (La Jalca), se alimenta de insectos",,,,,karakaq
,,bird var.,ave var.,pajaro que come maiz,,,tokuchin,,
,,bird var.,ave var.,,,,qilqero,,
,,bird var.,ave var.,"pajaro come maiz, negro con pecho rojo",,,,wanchako,wanchako
,,bird var.,ave var.,,,,,,pikuru
,,bird var.,ave var.,como gallina con espinas,,,,kasha pikuro,kasha pikuru
,,bird var.,ave var.,,,,,,pichucho
,,bird var.,ave var.,"ave color marron, canta ""chikuwaq""",,,,,chikuwaq
,,bird var.,ave var.,ave hermoso de 5 colores,,,,,kinkin
,,bird var.,ave var.,,,,,,sacha wallpa
REPTILES,,snake,"serpiente, culebra",,machakuy,,,,
,,snake var.,sepiente var.,serpiente,,,okisha,,
,,snake var.,sepiente var.,serpiente pintado,,,chagramama,,
,,snake var.,sepiente var.,serpiente,,,qerqon,,
,,snake var.,sepiente var.,serpiente de 5 colores,,,watopilla,,
,,snake var.,sepiente var.,sepiente verde,,,,,shushupe
,,snake var.,sepiente var.,serpiente,,,,,corral
,,snake var.,sepiente var.,serpiente,,,,,sinta waraka
,,snake var.,hortelana,serpiente grande,,,,,makanche
,,snake var?,,,,,,,solpe
AMPHIBIANS,,frog,sapo,,ampatu,,,ambatu,
,,frog var.,sapo var.,small,,,liqtimillo,,
,,salamander var.,,small,,,shurubo,shuribo,shurubo
,,lizard var.,lagartija var.,lagartija que ingresa en casa,,,,,ukuchko
Annelida,,worm,lombriz,,,,,,kuwika
,,worm var.,"gusano var., T: zorillo come cabeza","blanco grande, come papa, maiz, T: Snake < /añash/ + /kuru/ 'zorrino' + serpiente",,añash kuru,añash kur,añash kuru,
,,worm var.,gusano var.,"larva, ruins corn",,,utushu,,utusho
,,worm var.,gusano var.,malogra papa,,,okishas,,
,,worm var.,gusano var.,gusanito con alitas pero para en tierra,,,,waka kuru,
,,worm var.,gusano var.,"capudito como wakakuru, pintaditos",,,gorgoqo,,
,,worm var.,gusano var.,"amarroncito, chiquitoro, se hace bola en huerta, come papa, frutita, todo",,,,burrillu,
,,worm var.,gusano var.,,,,,upa kuru,upa kuru
,,worm var.,gusano var.,,,,,,uksha kuro
Mollusca,,snail,caracol,,churu,,,,
,,slug,babosa,,,,kalli-kalli,kach kallu,
Arthrapoda,,spider var.,"araña, var.",big,,,acheton ,,
,,insect var.,insecto var.,insecto que vuela y canta insecto,,,,,chicharra
,,insect var.,insecto var.,"big, black, stings",,,don,don,
,,insect var.,insecto var.,como don,,,,tabano,
,,insect var.,insecto var.,"insecto que pica, su pluma te quema la piel 24 horas",,,,poll kuru,
,,insect var.,insecto var.,depredor,,,,,chinche
,,fly,mosca,,chushpi,chuzhbi,,,
,,fly var.,mosca var.,fly – large “su zumbido triste anuncia la muerte”,,anana,,,
,,mosquito var.,,,,,sacha wallpa,,
,,dragonfly,,,,,,wirakcha kur ,
,,caterpillar var.,,caterpillar with stinging bristles,,,ishanga kur,ishanga kur,
,,caterpillar var.,,"como ishanga kur, huequea, no pica",,,,yutusho,
,,dung beetle?,,bolea la caca,,,,isma tanga kuru,
,,ant var.,hormiga var.,kind of ant (small),añallu,"añallu, añalhu",,,
,,ant var.,hormiga var.,hormiga larga que vuela a nido,,,isula,isula,isula
,,ant var.,hormiga var.,hormiga grande que se come fiendo,,,,muspacha,
,,ant var.,hormiga var.,hormiga que pica fuerte,,,,donbo,
,,ant var.,hormiga var.,,,,,shinuako,shinuako
,,ant var.,hormiga var.,,,,,tangrana,tangrana
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,, ,,,,,,,
